title,province,district,total_cost,funding_type,status,primary_sector,source_file
On-Farm Soil Conservation and Productivity Enhancement through Mechanized Farming in AJ&K,Azad Jammu and Kashmir,AJ&K,17036000,ADP,under_implementation,Food,AJK_Ongoing
"Agro-Ecological Based Fruit, Vegetable & Apiculture Development as Enterprise in AJ&K",Azad Jammu and Kashmir,AJ&K,4005000,ADP,under_implementation,Food,AJK_Ongoing
Production of Quality Fruit Plants by Providing Certified Agricultural Inputs at Departmental Nurseries,Azad Jammu and Kashmir,AJ&K,14942000,ADP,under_implementation,Food,AJK_Ongoing
"Establishment of Tissue Culture Lab to Multiply Potato Seeds, Ornamental Plants & Flowers in AJ&K",Azad Jammu and Kashmir,AJ&K,16393000,ADP,under_implementation,Food,AJK_Ongoing
Promotion of Olive Cultivation in AJ&K,Azad Jammu and Kashmir,AJ&K,21394000,ADP,under_implementation,Food,AJK_Ongoing
"Establishment of China-Pakistan Joint Agricultural Demonstration Station at Heer & Singri, District Bhimber",Azad Jammu and Kashmir,Bhimber,370000,ADP,under_implementation,Food,AJK_Ongoing
Rehabilitation of Khari Irrigation Channel and Lining of Existing Distributaries on Upper Jhelum Canal (Phase-I),Azad Jammu and Kashmir,"Upper Jhelum Canal, AJ&K",56000000,ADP,under_implementation,Water,AJK_Ongoing
"Construction of Office Building for Directorate of Irrigation & Small Dams, Muzaffarabad (AJ&K)",Azad Jammu and Kashmir,Muzaffarabad,45000000,ADP,under_implementation,Water,AJK_Ongoing
Feasibility Study of Bhimber Dam Project,Azad Jammu and Kashmir,Bhimber,50000000,ADP,under_implementation,Water,AJK_Ongoing
Construction of 05 Transformer Workshops,Azad Jammu and Kashmir,"Chaksawari (Mirpur), Khuiratta (Kotli), Kahuta (Haveli), Hajira (Poonch) & Hattian (Jhelum Valley)",40000000,ADP,under_implementation,Other,AJK_Ongoing
"Construction of 132 KV Grid Station including Transmission Line at Sehnsa, District Kotli AJ&K",Azad Jammu and Kashmir,"Sehnsa, Kotli",235734000,ADP,under_implementation,Energy,AJK_Ongoing
"Construction of 132 KV Grid Station including Transmission Line at Samahni, District Bhimber AJ&K",Azad Jammu and Kashmir,"Samahni, Bhimber",245543000,ADP,under_implementation,Energy,AJK_Ongoing
Feasibility Studies for New Grid Stations in AJ&K,Azad Jammu and Kashmir,Jabbi (Bhimber) & Pattika Naseerabad (Muzaffarabad),39738000,ADP,under_implementation,Energy,AJK_Ongoing
Payment of Awarded Land for Grid Stations on the Decisions of Supreme Court AJ&K,Azad Jammu and Kashmir,"Various Locations, AJ&K",6817000,ADP,under_implementation,Energy,AJK_Ongoing
"Construction of 11 KV Express Feeder from 132 KV Grid Station Awan Sharif to Kadala Moar & Pangali Moar, District Bhimber",Azad Jammu and Kashmir,"Awan Sharif – Kadala Moar & Pangali Moar, Bhimber",29691000,ADP,under_implementation,Energy,AJK_Ongoing
"Construction of 11 KV Feeder Barootgala, District Kotli",Azad Jammu and Kashmir,Kotli (Barootgala),54151000,ADP,under_implementation,Other,AJK_Ongoing
"Construction of 11 KV Feeder from 132 KV Grid Station Kotli to Indus Press (Double Circuit), District Kotli",Azad Jammu and Kashmir,Kotli,2043000,ADP,under_implementation,Energy,AJK_Ongoing
"Replacement of Conductor City-I Feeder Dadyal, District Mirpur",Azad Jammu and Kashmir,Mirpur (Dadyal),4065000,ADP,under_implementation,Other,AJK_Ongoing
"Reconductoring of Industrial-II Feeder from Charyaian to Pail Chouhan, District Bhimber",Azad Jammu and Kashmir,Bhimber (Charyaian to Pail Chouhan),8857000,ADP,under_implementation,Other,AJK_Ongoing
"Construction of 11 KV Express Feeder for Load Bifurcation of 11 KV Kaschanater Feeder, District Bhimber",Azad Jammu and Kashmir,Bhimber (Kaschanater Feeder Area),14454000,ADP,under_implementation,Other,AJK_Ongoing
"Construction of 11 KV Express Feeder Peer Shah Ghazi Chechian (Double Circuit) and Conductor Replacement of Existing Mirpur-IV Feeder, District Mirpur",Azad Jammu and Kashmir,Mirpur (Peer Shah Ghazi Chechian),9771000,ADP,under_implementation,Other,AJK_Ongoing
"Replacement of Conductor on 11 KV Siakh Feeder from 132 KV Grid Station Dadyal Area, District Kotli",Azad Jammu and Kashmir,Kotli (Dadyal Area / Khatrass–Brand Senhsa Line),49605000,ADP,under_implementation,Energy,AJK_Ongoing
"Construction of 11 KV Express Feeder from 132 KV Grid Station Khuiratta to Charohi Dhamal, District Kotli",Azad Jammu and Kashmir,Kotli (Khuiratta–Charohi Dhamal),59878000,ADP,under_implementation,Energy,AJK_Ongoing
Extension of 11 KV Chatter Kalas Feeder (132 KV Grid Station Barora) for Shifting of Load from 11 KV Kohalla-II Feeder,Azad Jammu and Kashmir,Muzaffarabad (Barora–Chatter Kalas–Kohalla-II Area),50304000,ADP,under_implementation,Energy,AJK_Ongoing
"Replacement of Conductor (Rabbit to Dog) on 11 KV Secretariat Feeder, District Muzaffarabad",Azad Jammu and Kashmir,Muzaffarabad,23248000,ADP,under_implementation,Other,AJK_Ongoing
Rehabilitation and Renovation of Distribution Lines for Maximum Utilization of 14 MW Jheeng Hydro Power Station,Azad Jammu and Kashmir,Jheeng Hydropower Area,15696000,ADP,under_implementation,Energy,AJK_Ongoing
Construction of 11 KV Express Feeder from Rampura Grid to Sehali Naala for Load Bifurcation of Airport-II Feeder and Reconductoring of Existing 11 KV Feeder,Azad Jammu and Kashmir,Muzaffarabad (Rampura Grid – Sehali Naala),32125000,ADP,under_implementation,Energy,AJK_Ongoing
Construction of 11 KV Feeder from 132 KV Grid Station Barora to City Muzaffarabad,Azad Jammu and Kashmir,Muzaffarabad (Barora Grid Station to City Area),31076000,ADP,under_implementation,Energy,AJK_Ongoing
Extension of 11 KV New Secretariat Feeder (132 KV Grid Station Rampura) for Shifting of Load from 11 KV City-V Feeder (132 KV Grid Station Muzaffarabad),Azad Jammu and Kashmir,Muzaffarabad (Rampura Grid Station / New Secretariat Area),5658000,ADP,under_implementation,Energy,AJK_Ongoing
Construction and Renovation of 11 KV Line for Shifting of Load from Kahori Feeder (132 KV Grid Station Muzaffarabad) to Jheeng Pattika Feeder,Azad Jammu and Kashmir,Muzaffarabad (Kahori – Jheeng Pattika),19636000,ADP,under_implementation,Energy,AJK_Ongoing
"Construction of 11 KV Express Feeder from 132 KV Grid Station Minhasa to Seri Bandi/Kandi, District Bagh",Azad Jammu and Kashmir,Bagh (Minhasa – Seri Bandi/Kandi),44565000,ADP,under_implementation,Energy,AJK_Ongoing
"Construction of 11 KV Feeder from 132 KV Grid Station Bagh to Arja, District Bagh",Azad Jammu and Kashmir,Bagh (Bagh – Arja),51095000,ADP,under_implementation,Energy,AJK_Ongoing
"Construction of 11 KV Express Feeder Mandhol for Load Bifurcation, District Poonch",Azad Jammu and Kashmir,Poonch (Mandhol),46338000,ADP,under_implementation,Other,AJK_Ongoing
Construction of 2.71 MW Khurshidabad Hydro Power Project,Azad Jammu and Kashmir,"Haveli District, AJ&K",200000000,ADP,under_implementation,Energy,AJK_Ongoing
Construction of 22.0 MW Jagran-IV Hydro Power Project,Azad Jammu and Kashmir,"Neelum District, AJ&K",600000000,ADP & F. Aid,under_implementation,Energy,AJK_Ongoing
Construction of 4.96 MW Batdara Hydro Power Project,Azad Jammu and Kashmir,"Muzaffarabad District, AJ&K",250000000,ADP,under_implementation,Energy,AJK_Ongoing
Construction of 500 KW Pathali Hydro Power Project,Azad Jammu and Kashmir,"Muzaffarabad District, AJ&K",236460000,ADP,under_implementation,Energy,AJK_Ongoing
Construction of 500 KW Haryala Hydro Power Project,Azad Jammu and Kashmir,"Muzaffarabad District, AJ&K",253805000,ADP,under_implementation,Energy,AJK_Ongoing
Construction of 1.95 MW Noshera Hydro Power Project,Azad Jammu and Kashmir,"Muzaffarabad District, AJ&K",200000000,ADP,under_implementation,Energy,AJK_Ongoing
Construction of 48 MW Shounter Hydro Power Project,Azad Jammu and Kashmir,"Neelum District, AJ&K",943333000,ADP & F. Aid,under_implementation,Energy,AJK_Ongoing
Construction of 3.0 MW Phullawahi Hydro Power Project,Azad Jammu and Kashmir,"Neelum District, AJ&K",200000000,ADP,under_implementation,Energy,AJK_Ongoing
"Feasibility Study & Engineering Design of Kasorkot Talawari HPP, District Jhelum Valley",Azad Jammu and Kashmir,Jhelum,6402000,ADP,under_implementation,Other,AJK_Ongoing
Water Quality Profiling and Source Characterization in AJ&K,Azad Jammu and Kashmir,AJ&K,30560000,ADP,under_implementation,Water,AJK_Ongoing
Updation of State of Environment & Establishment of Climate Change Baseline in AJ&K,Azad Jammu and Kashmir,AJ&K,47040000,ADP,under_implementation,Other,AJK_Ongoing
"Intregrated Solid Waste Managment (ISWM) Project for Muzaffarabad City(Total Cost=Rs.361.217 million, NJHEP Share=196.050 million, ADP Share=RS.165.167 million)",Azad Jammu and Kashmir,Muzzaffarabad,165166000,ADP,under_implementation,Other,AJK_Ongoing
Provision of Safe Drinking Water in AJ&K through Installation of Water Filtration Plants,Azad Jammu and Kashmir,AJ&K,217043000,ADP,under_implementation,Water,AJK_Ongoing
Operation and Maintenance of Installed Water Filtration Plants,Azad Jammu and Kashmir,AJ&K,30000000,ADP,under_implementation,Water,AJK_Ongoing
Greater Water Supply Scheme Doba Hotrari & Mera Kalan,Azad Jammu and Kashmir,Muzaffarabad (Doba Hotrari & Mera Kalan),77117000,ADP,under_implementation,Water,AJK_Ongoing
"Greater Water Supply Scheme, Hattian Bala",Azad Jammu and Kashmir,Hattian Bala,38532000,ADP,under_implementation,Water,AJK_Ongoing
"Greater Water Supply Scheme, Abbaspur",Azad Jammu and Kashmir,Abbaspur,5000000,ADP,under_implementation,Water,AJK_Ongoing
Left-over Work of Darek Dam for Rawalakot Water Supply (Phase-I),Azad Jammu and Kashmir,Rawalakot,100000000,ADP,under_implementation,Water,AJK_Ongoing
Up-gradation of Water Supply Scheme Pallandri,Azad Jammu and Kashmir,"Pallandri, Sudhnoti",80000000,ADP,under_implementation,Water,AJK_Ongoing
Water Supply Scheme Bloach,Azad Jammu and Kashmir,"Bloach, Sudhnoti",69000000,ADP,under_implementation,Water,AJK_Ongoing
"Up-gradation of Water Supply Scheme Ghari Dopatta, Chikar & Chinari",Azad Jammu and Kashmir,"Ghari Dopatta (Muzaffarabad), Chikar & Chinari (Jhelum Valley)",50000000,ADP,under_implementation,Water,AJK_Ongoing
Completion of Left-over Works/Repair of Water Supply System Muzaffarabad City,Azad Jammu and Kashmir,Muzaffarabad City,30628000,ADP,under_implementation,Water,AJK_Ongoing
Completion of Left-over Works/Repair of Sewerage System Muzaffarabad City,Azad Jammu and Kashmir,Muzaffarabad City,14030000,ADP,under_implementation,Water,AJK_Ongoing
Completion of Left-over Works/Repair of Water Supply System Bagh City,Azad Jammu and Kashmir,Bagh City,24747000,ADP,under_implementation,Water,AJK_Ongoing
Completion of Left-Over Works/Repair of Water Supply System Bagh City Phase-II,Azad Jammu and Kashmir,Bagh City,946000,ADP,under_implementation,Water,AJK_Ongoing
"Water Supply Scheme THQ Samahni, District Bhimber",Azad Jammu and Kashmir,"Samahni, Bhimber",5494000,ADP,under_implementation,Water,AJK_Ongoing
"Water Supply Scheme THQ Charhoi, District Kotli",Azad Jammu and Kashmir,"Charhoi, Kotli",95000000,ADP,under_implementation,Water,AJK_Ongoing
Water Supply Scheme THQ Sehnsa,Azad Jammu and Kashmir,"Sehnsa, Kotli",94000000,ADP,under_implementation,Water,AJK_Ongoing
"Water Supply Scheme Bharing, District Bhimber",Azad Jammu and Kashmir,"Bharing, Bhimber",80000000,ADP,under_implementation,Water,AJK_Ongoing
